uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Résultat net comptable hors SIE;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Subventions de la région;Subventions Union Européenne;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0141408E;2010;14012410.33;0.0;0.0;8113120.85;1124638.93;;-0.656916717135802;;61007978.54;99.5866686088142;32757244.6;53.4714465318534;6682036.84;25179373.78;41.1016724765312;1823615.27;567013.329999998;77.0768697559276;13061955.6;5940281.65;29455440.7;;61261190.27;48.0817309787474;;;1828619.79;351443.19;1963170.25;16726357.2;98.7000181960134;81099.3;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0141408E;Université de Caen Normandie;14118;Caen;A05;Caen;R28;Normandie
0250082D;2010;2313715.74;0.0;0.0;11854.68;119265.6;;14.1902402329997;752149.54;4547278.18;85.7900807603732;2036717.51;38.4252189447021;85429.85;1860408.39;35.0989272500096;;1110271.38;275.514790960073;3480117.77;3209.52;2375382.08;;5300470.8;44.814548926484;301774.72;;8454.5;;45843.49;3720283.59;294.528295693579;5450.0;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0250082D;École nationale supérieure de mécanique et des microtechniques;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0251215K;2010;9283780.63;0.0;0.0;2188275.61;3283545.72;;2.94092789071581;5406454.27000001;178438247.75;97.0643592585926;25000472.7;13.5994098484272;7288366.42;150671191.19;81.960021553654;2982150.14;8153963.17000001;53.4644388716825;26500279.97;3451848.75;28488392.76;;183834982.39;15.4967201506636;5026912.41000001;;1545141.72;1211668.72;721860.17;27539612.26;55.56129663126;117923.23;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0251215K;Université de Franche-Comté;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0290119X;2010;713329.65;0.0;0.0;180601.61;;4394.11999999941;17.5148375881566;558316.29;2626739.46;82.4029602079175;1411367.93;44.2757636018156;;1139905.36;35.7597612748665;2970.5;477900.81;441.255631040012;3219621.05;;1077218.09;;3187676.09;33.7932104638649;273269.99;;800.0;;33.0;3215226.93;440.653407932586;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0290119X;École nationale d'ingénieurs de Brest;29019;Brest;A14;Rennes;R53;Bretagne
0311382J;2010;8088579.73;0.0;0.0;855626.51;227101.0;;3.94343537255171;3183046.27000002;77534550.68;96.0565646274483;9827855.03;12.1756040830698;885581.48;65525259.67;81.1784073683328;3105870.3;3577862.62000002;70.2539313973878;15130852.79;3669935.18;13436107.75;;80717596.95;16.6458222961257;633068.23000002;;310200.0;10321.67;609172.84;18707821.49;86.8621237542973;10837.16;2009;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0311382J;Université Toulouse 1 - Capitole;31555;Toulouse;A16;Toulouse;R76;Occitanie
0330192E;2010;135522.1;0.0;0.0;219140.75;223944.02;488228.24;7.99213843089101;351586.75;4047570.66;92.007861569109;1698170.47;38.6021756379934;56669.15;1926112.97;43.7836792477949;738318.87;962459.51;151.719835621103;1705824.32;547391.5;2991318.41;;4399157.41;67.9975306907693;149147.8;;133601.19;411042.0;103324.45;1217596.08;108.295722451946;;;A;institut d'études politiques;GR20;instituts d'études politiques;0330192E;Institut d'études politiques de Bordeaux;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine
0381912X;2010;6347137.98;0.0;0.0;3584320.09;9351982.96;;5.20014656178224;5787323.73999999;105504226.82;94.7998534382178;25310938.16;22.7429108792534;5291274.78;73658714.28;66.1853608017518;1592307.28;11959432.26;;;3813635.58;39632117.41;;111291550.56;35.6110748844616;;;4923391.55;2777965.66;3206490.96;;;327440.91;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0381912X;Grenoble INP;38185;Grenoble;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0420093Y;2010;476165.42;0.0;0.0;286990.88;596021.32;358780.8;10.7165819355689;464871.62;3868580.63;89.1815277855632;1825221.95;42.0764351624086;334351.63;1905665.78;43.930888861703;240273.0;783957.05;68.340640582694;734392.440000005;304699.03;2509470.5;;4337872.12;57.8502646131486;36247.0999999999;;161243.56;37352.27;406880.47;375611.640000001;34.9534372765549;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0420093Y;École nationale d'ingénieurs de Saint-Étienne;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0450855K;2010;;;;;;3064389.73999999;;;;;;;;;;;;;12248246.7;;;;;;;;;;;9183856.96000001;;;2011;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0450855K;Université d'Orléans;45234;Orléans;A18;Orléans-Tours;R24;Centre-Val de Loire
0590311T;2010;955629.15;0.0;0.0;231602.58;100511.58;209051.780000001;25.518128473153;865409.79;2525943.11;74.481871526847;1591880.43;46.9393919459104;1057390.54;915025.55;26.9811363482697;96777.9;742692.37;330.278460309425;2317401.67;;1806505.9;;3391352.9;53.268001097733;524176.12;;;51502.36;171237.35;2108349.89;300.484186439179;;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590311T;École nationale supérieure de chimie de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
